源:电流源
起点:0mA
终点:100mA
点数:1000
限值:5 V
延时:0us
NPLC:1
2/4Wire:2
面板:前面板

点数,电压(V),电流(A),电阻(Ω),功率(W)
920,5.00232,0.0727761,68.7358,0.364049
921,5.00232,0.0733226,68.2234,0.366783
922,5.00229,0.0712258,70.2314,0.356292
923,5.00232,0.071532,69.9312,0.357826
924,5.00232,0.0722014,69.2829,0.361175
925,5.00229,0.0719995,69.4767,0.360162
926,5.00235,0.0731007,68.4309,0.365675
927,5.00226,0.0740841,67.5214,0.370588
928,5.00229,0.0726209,68.8822,0.363271
929,5.00232,0.0738773,67.7112,0.369558
930,5.00232,0.0749622,66.7312,0.374985
931,5.00232,0.0753118,66.4215,0.376734
932,5.00232,0.074669,66.9933,0.373518
933,5.00232,0.0744179,67.2193,0.372262
934,5.00235,0.0740531,67.5509,0.37044
935,5.00235,0.0714933,69.9695,0.357635
936,5.00235,0.0699629,71.5,0.349979
937,5.00235,0.0704357,71.0201,0.352344
938,5.00223,0.074402,67.2325,0.372176
939,5.00229,0.0759116,65.8963,0.379732
940,5.00232,0.0742714,67.3519,0.371529
941,5.00235,0.0744626,67.1794,0.372488
942,5.00235,0.0740132,67.5873,0.37024
943,5.00226,0.0736156,67.9511,0.368244
944,5.00232,0.0721733,69.3098,0.361034
945,5.00232,0.0725822,68.9194,0.363079
946,5.00226,0.073682,67.8899,0.368577
947,5.00232,0.0789778,63.3383,0.395072
948,5.00229,0.0793484,63.0421,0.396924
949,5.00235,0.07775,64.3389,0.388933
950,5.00226,0.0792818,63.0947,0.396588
951,5.00235,0.0818053,61.1495,0.409219
952,5.00232,0.079808,62.6794,0.399225
953,5.00232,0.0786603,63.594,0.393484
954,5.00226,0.0782831,63.8996,0.391592
955,5.00229,0.0850487,58.8168,0.425438
956,5.00232,0.0841649,59.4348,0.42102
957,5.00232,0.084717,59.0474,0.423782
958,5.00229,0.0870951,57.4348,0.435675
959,5.00229,0.0888107,56.3253,0.444257
960,5.00226,0.0889135,56.2598,0.444768
961,5.00198,0.0954398,52.4098,0.477388
962,4.99185,0.0961785,51.9019,0.480109
963,4.99585,0.0958539,52.1194,0.478872
964,5.00229,0.0955052,52.3771,0.477745
965,5.00232,0.0957884,52.2226,0.479164
966,5.00134,0.0964263,51.867,0.482261
967,5.00262,0.0956085,52.324,0.478293
968,5.00226,0.0956396,52.3032,0.478414
969,5.00229,0.095667,52.2886,0.478554
970,5.00229,0.0956766,52.2833,0.478602
971,5.00229,0.095677,52.2831,0.478604
972,5.00232,0.0942094,53.0979,0.471266
973,5.00229,0.0944885,52.9407,0.472659
974,5.00232,0.0950801,52.6116,0.475621
975,5.00229,0.0954818,52.39,0.477628
976,5.00229,0.0958459,52.191,0.479449
977,5.00229,0.0960177,52.0976,0.480308
978,5.00229,0.0957699,52.2324,0.479069
979,5.00232,0.0963304,51.9288,0.481875
980,5.00229,0.0962047,51.9963,0.481244
981,5.00241,0.0948953,52.715,0.474705
