No,1,2,3,4,5,6,7,8,9,10
413nm,0.001626,0.002789,0.000788,0.001514,0.003211,0.000000,0.000000,0.000000,0.000000,0.000000
414nm,0.000000,0.000603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
415nm,0.000000,0.000592,0.000000,0.000000,0.000218,0.000000,0.000000,0.000000,0.000000,0.000000
416nm,0.000000,0.000234,0.000000,0.000000,0.000431,0.000000,0.000000,0.000000,0.000000,0.000000
417nm,0.000000,0.000000,0.000000,0.000000,0.000426,0.000000,0.000000,0.000000,0.000000,0.000000
418nm,0.000000,0.000000,0.000000,0.000000,0.000336,0.000000,0.000000,0.000000,0.000000,0.000000
419nm,0.000000,0.000218,0.000000,0.000000,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000
420nm,0.000000,0.000659,0.000000,0.000000,0.001701,0.000000,0.000000,0.000000,0.000000,0.000000
421nm,0.000000,0.000675,0.000000,0.000000,0.001674,0.000000,0.000000,0.000000,0.000000,0.000000
422nm,0.000140,0.001581,0.000000,0.000421,0.002449,0.000000,0.000000,0.000000,0.000000,0.000000
423nm,0.000138,0.000972,0.000000,0.000416,0.001138,0.000000,0.000000,0.000000,0.000000,0.000000
424nm,0.000138,0.000970,0.000000,0.000416,0.001200,0.000000,0.000000,0.000000,0.000000,0.000000
425nm,0.000035,0.000217,0.000000,0.000104,0.000495,0.000000,0.000000,0.000000,0.000000,0.000000
426nm,0.000000,0.000775,0.000000,0.000000,0.000155,0.000000,0.000000,0.000000,0.000000,0.000000
427nm,0.000000,0.000830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
428nm,0.000000,0.000822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
429nm,0.000000,0.000281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
430nm,0.000000,0.000084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
431nm,0.000038,0.000243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
432nm,0.002263,0.001167,0.000359,0.000318,0.000067,0.000000,0.000000,0.000000,0.000000,0.000000
433nm,0.009380,0.003341,0.000915,0.001021,0.000165,0.000000,0.000000,0.000000,0.000000,0.000000
434nm,0.013256,0.003687,0.001083,0.001042,0.000163,0.000000,0.000000,0.000000,0.000000,0.000000
435nm,0.022122,0.005423,0.005245,0.003390,0.000358,0.000000,0.000000,0.000000,0.000000,0.000000
436nm,0.031279,0.010156,0.015794,0.007887,0.002969,0.000000,0.000000,0.000000,0.000000,0.000000
437nm,0.035155,0.012274,0.022984,0.009458,0.003430,0.000000,0.000000,0.000000,0.000000,0.000000
438nm,0.047843,0.023197,0.036614,0.018386,0.007811,0.000000,0.000000,0.000000,0.000000,0.000000
439nm,0.057412,0.030260,0.044363,0.029151,0.015586,0.000000,0.000000,0.000000,0.000000,0.000000
440nm,0.071691,0.039340,0.052033,0.041591,0.021763,0.000000,0.000000,0.000000,0.000000,0.000000
441nm,0.077591,0.042350,0.049606,0.042877,0.022626,0.000000,0.000000,0.000000,0.000000,0.000000
442nm,0.077368,0.039927,0.044723,0.035469,0.016437,0.000000,0.000000,0.000000,0.000000,0.000000
443nm,0.074553,0.040418,0.041229,0.027111,0.011088,0.000000,0.000000,0.000000,0.000000,0.000000
444nm,0.074882,0.040807,0.046878,0.027240,0.011590,0.000000,0.000000,0.000000,0.000000,0.000000
445nm,0.074964,0.035285,0.047043,0.028177,0.012168,0.000000,0.000000,0.000000,0.000000,0.000000
446nm,0.075714,0.031245,0.049018,0.030906,0.013315,0.000000,0.000000,0.000000,0.000000,0.000000
447nm,0.085723,0.032671,0.055446,0.037908,0.023918,0.000000,0.000000,0.000000,0.000000,0.000000
448nm,0.086754,0.036256,0.054076,0.038967,0.026872,0.000000,0.000000,0.000000,0.000000,0.000000
449nm,0.095996,0.043554,0.061710,0.048063,0.032978,0.000000,0.000000,0.000000,0.000000,0.000000
450nm,0.097055,0.046456,0.062240,0.049943,0.032826,0.000371,0.004577,0.000000,0.000000,0.000000
451nm,0.099034,0.050129,0.064539,0.049343,0.030076,0.000494,0.019426,0.000000,0.000000,0.000000
452nm,0.100785,0.053089,0.064367,0.049634,0.030644,0.000493,0.043486,0.000000,0.000000,0.000000
453nm,0.096911,0.050600,0.059031,0.044685,0.025047,0.001679,0.074474,0.000000,0.000000,0.000000
454nm,0.093747,0.043905,0.052736,0.043118,0.016022,0.014522,0.087140,0.000164,0.000000,0.000000
455nm,0.092673,0.039622,0.051449,0.038216,0.013466,0.024345,0.112175,0.004478,0.000179,0.000000
456nm,0.095130,0.039857,0.054237,0.036485,0.014936,0.026499,0.144974,0.010279,0.000917,0.000000
457nm,0.097023,0.036668,0.055424,0.031217,0.014426,0.022853,0.179134,0.010532,0.001051,0.000000
458nm,0.101818,0.036370,0.060355,0.034688,0.016563,0.030780,0.229825,0.015978,0.004851,0.001612
459nm,0.104187,0.034982,0.062309,0.037209,0.013279,0.049553,0.268495,0.022961,0.006336,0.001599
460nm,0.104718,0.034878,0.064631,0.039856,0.015134,0.073174,0.340186,0.050356,0.016944,0.001587
461nm,0.102262,0.030387,0.061809,0.037619,0.011818,0.096657,0.420525,0.081340,0.025002,0.000395
462nm,0.105021,0.032986,0.067134,0.041016,0.014069,0.136116,0.498997,0.113337,0.037703,0.006733
463nm,0.112563,0.039228,0.077066,0.047261,0.023623,0.199163,0.604339,0.146656,0.060394,0.039587
464nm,0.122574,0.046952,0.083754,0.053768,0.030098,0.257792,0.713411,0.166353,0.077874,0.071129
465nm,0.134529,0.053312,0.088447,0.057084,0.031881,0.314278,0.832712,0.207475,0.126168,0.122601
466nm,0.134870,0.044398,0.076704,0.048360,0.019806,0.357279,0.955374,0.244095,0.159794,0.147879
467nm,0.142951,0.045920,0.077866,0.048609,0.016531,0.415814,1.115027,0.313477,0.202370,0.178159
468nm,0.149955,0.051373,0.080096,0.052675,0.020072,0.477849,1.290928,0.371913,0.245059,0.219720
469nm,0.158270,0.056346,0.085607,0.057588,0.024092,0.559513,1.481853,0.434698,0.293579,0.264465
470nm,0.164818,0.061113,0.089601,0.063639,0.027889,0.653651,1.684904,0.494096,0.361397,0.333897
471nm,0.168705,0.060577,0.094876,0.065273,0.027761,0.759666,1.892122,0.559455,0.404919,0.394365
472nm,0.181381,0.067068,0.105179,0.075107,0.034992,0.884023,2.158743,0.658714,0.462756,0.470473
473nm,0.192023,0.071667,0.112820,0.082725,0.041864,1.007408,2.440244,0.778788,0.511845,0.553501
474nm,0.208147,0.079929,0.122440,0.089032,0.049519,1.153725,2.746969,0.904410,0.584402,0.637867
475nm,0.216975,0.081265,0.126399,0.091702,0.049831,1.313144,3.096487,1.028138,0.671002,0.723588
476nm,0.221576,0.080891,0.129363,0.089390,0.045769,1.495785,3.509488,1.164428,0.763495,0.823359
477nm,0.232547,0.082991,0.136237,0.092905,0.045406,1.698732,3.989356,1.331424,0.878895,0.934304
478nm,0.246108,0.086565,0.145572,0.099657,0.049498,1.924359,4.483187,1.532992,0.995527,1.063448
479nm,0.275773,0.101163,0.161509,0.114769,0.063288,2.179315,5.034262,1.745011,1.139058,1.221917
480nm,0.298056,0.108059,0.173312,0.125129,0.068939,2.440275,5.579417,1.965469,1.274014,1.381741
481nm,0.317583,0.110155,0.180001,0.128838,0.067552,2.764167,6.286037,2.235361,1.441289,1.579490
482nm,0.331667,0.107953,0.183375,0.126536,0.059481,3.103889,7.098770,2.529158,1.614120,1.785987
483nm,0.348675,0.107301,0.192887,0.127550,0.052869,3.502603,8.060269,2.852151,1.824832,2.020850
484nm,0.375325,0.113010,0.205619,0.132218,0.052448,3.950855,9.082628,3.183350,2.046873,2.287213
485nm,0.412459,0.123125,0.228284,0.150294,0.061934,4.463861,10.211511,3.588928,2.331463,2.589868
486nm,0.458072,0.135352,0.248997,0.168106,0.073120,5.035813,11.429954,4.043417,2.634769,2.925392
487nm,0.501662,0.148723,0.271706,0.186472,0.082795,5.603741,12.635946,4.520730,2.946621,3.257046
488nm,0.560936,0.165336,0.299372,0.205174,0.089820,6.335188,14.204988,5.099471,3.358695,3.676892
489nm,0.619465,0.180136,0.328066,0.223597,0.092097,7.147316,15.956248,5.743913,3.802293,4.167362
490nm,0.696461,0.205551,0.369958,0.253511,0.103814,8.054149,17.829134,6.458995,4.319230,4.692291
491nm,0.774902,0.222923,0.409720,0.282094,0.111834,9.028510,19.881987,7.271857,4.872817,5.281497
492nm,0.865901,0.241726,0.456866,0.311368,0.120301,10.142146,22.135107,8.206351,5.492155,5.968975
493nm,0.968055,0.261483,0.509960,0.340961,0.127243,11.401486,24.719469,9.246761,6.173994,6.736434
494nm,1.076164,0.285721,0.567655,0.376291,0.136793,12.633887,27.274433,10.274385,6.814130,7.498410
495nm,1.209071,0.314637,0.637950,0.418442,0.148522,14.201752,30.414871,11.543415,7.636383,8.429699
496nm,1.360893,0.350618,0.717709,0.468289,0.163179,15.938613,33.839741,12.960366,8.582845,9.501916
497nm,1.525276,0.387284,0.799748,0.521992,0.178120,17.869070,37.555588,14.536170,9.681110,10.697611
498nm,1.710613,0.438876,0.901334,0.588309,0.200186,19.947287,41.492271,16.254646,10.889635,12.002760
499nm,1.897187,0.489617,0.999096,0.658295,0.224167,21.912500,45.220123,17.901308,12.072780,13.258107
500nm,2.123701,0.551353,1.122326,0.744218,0.248632,24.280609,49.770393,19.944405,13.519921,14.824454
501nm,2.374727,0.619435,1.259579,0.835483,0.275054,26.891825,54.685764,22.147585,15.118890,16.572319
502nm,2.642236,0.689115,1.406022,0.932441,0.298820,29.785564,60.004826,24.578871,16.906040,18.495050
503nm,2.918399,0.766991,1.569664,1.037946,0.330761,32.843807,65.398201,27.109417,18.766829,20.533934
504nm,3.204158,0.852917,1.744116,1.154028,0.372110,36.080322,70.899826,29.777281,20.776331,22.664396
505nm,3.502351,0.939527,1.921744,1.272144,0.411521,39.540287,76.824516,32.728767,22.993269,25.006720
